BASE_DATE,IR_CURVE_ID,MAT_CD,INT_RATE
20150216,A100,M0009,0.02
20150216,A100,M0012,0.0202
20150216,A100,M0018,0.0205
20150216,A100,M0024,0.0207
20150216,A100,M0030,0.0209
20150216,A100,M0036,0.0211
20150216,A100,M0048,0.0219
20150216,A100,M0060,0.0225
20150216,A100,M0084,0.0237
20150216,A100,M0120,0.0251
20150216,A100,M0240,0.0268
20150216,E110,M0003,0.0202
20150216,E110,M0006,0.0202
20150216,E110,M0009,0.0203
20150216,E110,M0012,0.0206
20150216,E110,M0018,0.0209
20150216,E110,M0024,0.021
20150216,E110,M0030,0.0213
20150216,E110,M0036,0.0215
20150216,E110,M0048,0.0221
20150216,E110,M0060,0.0231
20150216,E110,M0084,0.0243
20150216,E110,M0120,0.0258
20150216,E110,M0240,0.0278
20150210,A100,M0003,0.0195
20150210,A100,M0006,0.0196
20150210,A100,M0009,0.0196
20150210,A100,M0012,0.0198
20150210,A100,M0018,0.0199
20150210,A100,M0024,0.0203
20150210,A100,M0030,0.0203
20150210,A100,M0036,0.0207
20150210,A100,M0048,0.0213
20150210,A100,M0060,0.0217
20150210,A100,M0084,0.0227
20150210,A100,M0120,0.0237
20150210,A100,M0240,0.0255
20150210,E110,M0003,0.02
20150210,E110,M0006,0.02
20150210,E110,M0009,0.02
20150210,E110,M0012,0.0202
20150210,E110,M0018,0.0205
20150210,E110,M0024,0.0207
20150210,E110,M0030,0.021
20150210,E110,M0036,0.0213
20150210,E110,M0048,0.0217
20150210,E110,M0060,0.0226
20150210,E110,M0084,0.0234
20150210,E110,M0120,0.0246
20150210,E110,M0240,0.0265
20150212,A100,M0003,0.0196
20150212,A100,M0006,0.0198
20150212,A100,M0009,0.0199
20150212,A100,M0012,0.0201
20150212,A100,M0018,0.0201
20150212,A100,M0024,0.0204
20150212,A100,M0030,0.0206
20150212,A100,M0036,0.0208
20150212,A100,M0048,0.0214
20150212,A100,M0060,0.022
20150212,A100,M0084,0.0231
20150212,A100,M0120,0.0243
20150212,A100,M0240,0.0261
20150206,A100,M0003,0.0191
20150206,A100,M0006,0.0192
20150206,A100,M0009,0.0191
20150206,A100,M0012,0.0192
20150206,A100,M0018,0.0192
20150206,A100,M0024,0.0194
20150206,A100,M0030,0.0195
20150206,A100,M0036,0.0197
20150206,A100,M0048,0.0203
20150206,A100,M0060,0.0207
20150206,A100,M0084,0.0217
20150206,A100,M0120,0.0229
20150206,A100,M0240,0.0247
20150212,E110,M0003,0.0201
20150212,E110,M0006,0.0201
20150212,E110,M0009,0.0202
20150212,E110,M0012,0.0204
20150212,E110,M0018,0.0207
20150212,E110,M0024,0.0208
20150212,E110,M0030,0.0211
20150212,E110,M0036,0.0212
20150212,E110,M0048,0.0217
20150212,E110,M0060,0.0226
20150212,E110,M0084,0.0236
20150212,E110,M0120,0.0251
20150212,E110,M0240,0.0271
20150206,E110,M0003,0.0196
20150206,E110,M0006,0.0196
20150206,E110,M0009,0.0196
20150206,E110,M0012,0.0197
20150206,E110,M0018,0.0198
20150206,E110,M0024,0.0198
20150206,E110,M0030,0.0201
20150206,E110,M0036,0.0203
20150206,E110,M0048,0.0207
20150206,E110,M0060,0.0215
20150206,E110,M0084,0.0224
20150206,E110,M0120,0.0238
20150206,E110,M0240,0.0258
20150217,A100,M0003,0.0197
20150217,A100,M0006,0.0199
20150217,A100,M0009,0.02
20150217,A100,M0012,0.02
20150217,A100,M0018,0.0202
20150217,A100,M0024,0.0204
20150217,A100,M0030,0.0205
20150217,A100,M0036,0.0207
20150217,A100,M0048,0.0212
20150217,A100,M0060,0.0218
20150217,A100,M0084,0.0229
20150217,A100,M0120,0.0241
20150217,A100,M0240,0.0259
20150217,E110,M0003,0.0202
20150217,E110,M0006,0.0202
20150217,E110,M0009,0.0203
20150217,E110,M0012,0.0205
20150217,E110,M0018,0.0206
20150217,E110,M0024,0.0208
20150217,E110,M0030,0.0208
20150217,E110,M0036,0.0211
20150217,E110,M0048,0.0215
20150217,E110,M0060,0.0223
20150217,E110,M0084,0.0234
20150217,E110,M0120,0.0248
20150217,E110,M0240,0.0269
20150211,A100,M0003,0.0195
20150211,A100,M0006,0.0196
20150211,A100,M0009,0.0197
20150211,A100,M0012,0.0199
20150211,A100,M0018,0.0199
20150211,A100,M0024,0.0202
20150211,A100,M0030,0.0204
20150211,A100,M0036,0.0206
20150211,A100,M0048,0.0212
20150211,A100,M0060,0.0217
20150211,A100,M0084,0.0226
20150211,A100,M0120,0.0238
20150211,A100,M0240,0.0256
20150211,E110,M0003,0.02
20150211,E110,M0006,0.02
20150211,E110,M0009,0.0202
20150211,E110,M0012,0.0204
20150211,E110,M0018,0.0206
20150211,E110,M0024,0.0206
20150211,E110,M0030,0.0209
20150211,E110,M0036,0.0211
20150211,E110,M0048,0.0215
20150213,A100,M0003,0.0196
20150213,A100,M0006,0.0198
20150213,A100,M0009,0.0199
20150213,A100,M0012,0.0199
20150213,A100,M0018,0.0201
20150213,A100,M0024,0.0202
20150213,A100,M0030,0.0204
20150213,A100,M0036,0.0206
20150213,A100,M0048,0.0213
20150213,A100,M0060,0.0218
20150213,A100,M0084,0.023
20150213,A100,M0120,0.0242
20150213,A100,M0240,0.026
20150209,A100,M0003,0.0191
20150209,A100,M0006,0.0193
20150209,A100,M0009,0.0192
20150209,A100,M0012,0.0193
20150209,A100,M0018,0.0193
20150209,A100,M0024,0.0195
20150209,A100,M0030,0.0197
20150209,A100,M0036,0.0198
20150209,A100,M0048,0.0205
20150209,A100,M0060,0.0209
20150209,A100,M0084,0.0219
20150209,A100,M0120,0.0232
20150209,A100,M0240,0.0249
20150211,E110,M0060,0.0224
20150211,E110,M0084,0.0232
20150211,E110,M0120,0.0246
20150211,E110,M0240,0.0266
20150213,E110,M0003,0.0201
20150213,E110,M0006,0.0201
20150213,E110,M0009,0.0202
20150213,E110,M0012,0.0204
20150213,E110,M0018,0.0206
20150213,E110,M0024,0.0206
20150213,E110,M0030,0.0209
20150213,E110,M0036,0.0211
20150213,E110,M0048,0.0216
20150213,E110,M0060,0.0224
20150213,E110,M0084,0.0235
20150213,E110,M0120,0.025
20150209,E110,M0003,0.0197
20150209,E110,M0006,0.0197
20150209,E110,M0009,0.0197
20150209,E110,M0012,0.0198
20150209,E110,M0018,0.0199
20150209,E110,M0024,0.0199
20150209,E110,M0030,0.0202
20150213,E110,M0240,0.027
20150209,E110,M0036,0.0204
20150209,E110,M0048,0.0209
20150209,E110,M0060,0.0218
20150209,E110,M0084,0.0226
20150209,E110,M0120,0.0241
20150209,E110,M0240,0.026
20150223,A100,M0003,0.0197
20150223,A100,M0006,0.0198
20150223,A100,M0009,0.02
20150223,A100,M0012,0.0201
20150223,A100,M0018,0.0203
20150223,A100,M0024,0.0204
20150223,A100,M0030,0.0206
20150223,A100,M0036,0.0208
20150223,A100,M0048,0.0214
20150223,A100,M0060,0.0219
20150223,A100,M0084,0.0231
20150223,A100,M0120,0.0247
20150223,A100,M0240,0.0265
20150205,E110,M0003,0.0196
20150205,E110,M0006,0.0196
20150205,E110,M0009,0.0196
20150205,E110,M0012,0.0198
20150223,E110,M0003,0.0202
20150223,E110,M0006,0.0202
20150223,E110,M0009,0.0203
20150223,E110,M0012,0.0205
20150223,E110,M0018,0.0206
20150223,E110,M0024,0.0208
20150223,E110,M0030,0.0208
20150223,E110,M0036,0.0211
20150223,E110,M0048,0.0215
20150223,E110,M0060,0.0223
20150223,E110,M0084,0.0233
20150223,E110,M0120,0.0248
20150223,E110,M0240,0.0269
20150205,E110,M0018,0.02
20150205,E110,M0024,0.02
20150205,E110,M0030,0.0202
20150205,E110,M0036,0.0205
20150205,E110,M0048,0.0208
20150205,E110,M0060,0.0216
20150205,E110,M0084,0.0225
20150205,E110,M0120,0.0239
20150205,E110,M0240,0.0259
20150102,E110,M0003,0.0211
20150102,E110,M0006,0.0211
20150102,E110,M0009,0.0212
20150102,E110,M0012,0.0214
20150102,E110,M0018,0.0214
20150102,E110,M0024,0.0218
20150102,E110,M0030,0.022
20150102,E110,M0036,0.0227
20150102,E110,M0048,0.0234
20150102,E110,M0060,0.0247
20150102,E110,M0084,0.026
20150102,E110,M0120,0.0281
20150102,E110,M0240,0.0302
20150102,A100,M0003,0.0202
20150102,A100,M0006,0.0206
20150102,A100,M0009,0.0205
20150102,A100,M0012,0.0206
20150102,A100,M0018,0.0207
20150102,A100,M0024,0.021
20150102,A100,M0030,0.0212
20150102,A100,M0036,0.0214
20150102,A100,M0048,0.0227
20150102,A100,M0060,0.0234
20150102,A100,M0084,0.0251
20150102,A100,M0120,0.0269
20150102,A100,M0240,0.029
20150113,E110,M0003,0.0199
20150113,E110,M0006,0.02
20150113,E110,M0009,0.0201
20150113,E110,M0012,0.0203
20150113,E110,M0018,0.0204
20150113,E110,M0024,0.0207
20150113,E110,M0030,0.0208
20150113,E110,M0036,0.0214
20150113,E110,M0048,0.0218
20150113,E110,M0060,0.0229
20150113,E110,M0084,0.024
20150113,E110,M0120,0.0257
20150113,E110,M0240,0.0281
20150109,A100,M0003,0.0196
20150109,A100,M0006,0.02
20150109,A100,M0009,0.02
20150109,A100,M0012,0.02
20150109,A100,M0018,0.0201
20150109,A100,M0024,0.0203
20150109,A100,M0030,0.0205
20150109,A100,M0036,0.0206
20150109,A100,M0048,0.0217
20150109,A100,M0060,0.0224
20150109,A100,M0084,0.0239
20150109,A100,M0120,0.0258
20150109,A100,M0240,0.028
20150116,A100,M0003,0.0192
20150116,A100,M0006,0.0195
20150116,A100,M0009,0.0196
20150116,A100,M0012,0.0196
20150116,A100,M0018,0.0196
20150116,A100,M0024,0.02
20150116,A100,M0030,0.0201
20150116,A100,M0036,0.0202
20150116,A100,M0048,0.0207
20150116,A100,M0060,0.0212
20150116,A100,M0084,0.0222
20150116,A100,M0120,0.0237
20150116,A100,M0240,0.0255
20150109,E110,M0003,0.0202
20150109,E110,M0006,0.0203
20150109,E110,M0009,0.0204
20150109,E110,M0012,0.0206
20150109,E110,M0018,0.0208
20150109,E110,M0024,0.021
20150109,E110,M0030,0.0211
20150109,E110,M0036,0.0218
20150109,E110,M0048,0.0223
20150109,E110,M0060,0.0236
20150109,E110,M0084,0.0248
20150109,E110,M0120,0.0268
20150109,E110,M0240,0.0292
20150116,E110,M0003,0.0197
20150116,E110,M0006,0.0198
20150116,E110,M0009,0.0199
20150116,E110,M0012,0.0201
20150116,E110,M0018,0.0202
20150116,E110,M0024,0.0204
20150116,E110,M0030,0.0207
20150116,E110,M0036,0.0212
20150116,E110,M0048,0.0213
20150116,E110,M0060,0.0222
20150116,E110,M0084,0.0231
